# Optical absorption spectrum of Sulforhodamine 101 in ethanol
#
# Data from PhotochemCAD 2.1a has been munged on 26 February 2012 by Scott Prahl to make
# the information available to non-Windows users.  Although I have tried to be as careful
# as possible, I may have introduced some error; the cautious user is advised to compare
# these results with the original sources at www.photochemcad.com:
#
# H. Du, R. A. Fuh, J. Li, A. Corkan, J. S. Lindsey, "PhotochemCAD: A computer-aided design
#     and research tool in photochemistry," Photochem. Photobiol., 68, 141-142, 1998. 
# J. M. Dixon, M. Taniguchi and J. S. Lindsey "PhotochemCAD 2. A refined program with accompanying 
#     spectral databases for photochemical calculations", Photochem. Photobiol., 81, 212-213, 2005.
#
# The spectral absorption measurements were made by R.-C. A. Fuh on 06-20-1995 using a Cary 3.  
# The absorption values were collected using a spectral bandwidth of 1.0 nm, a signal averaging time of 0.133 sec, a data interval of 0.25 nm, and a scan rate of 112.5 nm/min.
#
# These measurements were scaled to make the molar extinction coefficient match
# the value of 139000 cm-1/M at 576.0 nm.  These values were 
# then interpolated to report extinction coefficients at regular 1nm intervals
#
# The reported molar extinction coefficient is from
# Birge, R. R. (1987) “Kodak Laser Dyes,”  Kodak publication JJ-169.
#
##Wavelength (nm)	Molar Extinction (cm-1/M) 
561.24	81230
561.49	82611
561.74	83693
561.99	84788
562.24	86200
562.49	87446
562.74	88246
562.99	89849
563.24	91407
563.49	92568
563.74	93548
563.99	94815
564.24	96758
564.49	97900
564.74	99135
564.99	100266
565.24	101442
565.49	102950
565.74	104183
565.99	105346
566.24	106822
566.49	107983
566.74	109525
566.99	110723
567.24	111785
567.49	113154
567.74	114595
567.99	115778
568.24	117062
568.49	117871
568.74	119835
568.99	120487
569.24	121829
569.49	122854
569.74	123559
569.99	125309
570.24	126470
570.49	127554
570.74	128382
570.99	129252
571.24	130376
571.49	131589
571.74	132295
571.99	132761
572.24	133437
572.49	134155
572.74	135234
572.99	135421
573.24	136164
573.49	136214
573.74	136892
573.99	137147
574.24	137554
574.49	137728
574.74	138643
574.99	138447
575.24	138436
575.49	138924
575.74	138661
575.99	139000
576.24	138496
576.49	138888
576.74	137978
576.99	137953
577.24	137793
577.49	137082
577.74	136925
577.99	136535
578.24	135756
578.49	134913
578.74	134323
578.99	133450
579.24	132642
579.49	131913
579.74	131045
579.99	129710
580.24	128391
580.49	127248
580.74	126079
580.99	124255
581.24	123339
581.49	122079
581.74	120466
581.99	119547
582.24	117666
582.49	115307
582.74	114451
582.99	112672
583.24	110930
583.49	109377
583.74	107386
583.99	105639
584.24	104232
584.49	101927
584.74	100194
584.99	98553
585.24	96376
585.49	94960
585.74	92561
585.99	91201
586.24	89062
586.49	87088
586.74	85394
586.99	83489
587.24	81544
587.49	79941
587.74	77984
587.99	76023
588.24	74434
588.49	72389
588.74	70458
588.99	68798
589.24	66962
589.49	65023
589.74	63311
589.99	61940
590.24	59755
590.49	58088
590.74	56797
590.99	54907
591.24	53687
591.49	51687
591.74	50277
591.99	48559
592.24	47094
592.49	45829
592.74	44118
592.99	42827
593.24	41412
593.49	39873
593.74	38747
593.99	37460
594.24	36167
594.49	34469
594.74	33260
594.99	31527
595.24	30546
595.49	29106
595.74	27982
595.99	27055
596.24	26207
596.49	25276
596.74	24124
596.99	23618
597.24	22481
597.49	21789
597.74	20916
597.99	19938
598.24	19386
598.49	18629
598.74	18094
598.99	17270
599.24	16491
599.49	15893
599.74	15621
599.99	14519
600.24	14325
600.49	13855
600.74	13201
600.99	12399
601.24	11880
601.49	11700
601.74	11395
601.99	10820
602.24	10539
602.49	9795
602.74	9670
602.99	9331
603.24	8762
603.49	8367
603.74	8051
603.99	7941
604.24	7479
604.49	7114
604.74	6714
604.99	6588
605.24	6519
605.49	6038
605.74	5818
605.99	5758
606.24	5620
606.49	5166
606.74	4752
606.99	4633
607.24	4465
607.49	4630
607.74	4029
607.99	4057
608.24	4093
608.49	3602
608.74	3717
608.99	3310
609.24	3341
609.49	2911
609.74	3128
609.99	2716
610.24	2766
610.49	2556
610.74	2568
610.99	2232
611.24	2054
611.49	2149
611.74	2225
611.99	2156
612.24	2017
612.49	1633
612.74	1919
612.99	1693
613.24	1688
613.49	1329
613.74	1534
613.99	1585
614.24	1274
614.49	1299
614.74	997
614.99	1558
615.24	1085
615.49	1161
615.74	1231
615.99	917
616.24	897
616.49	848
616.74	903
616.99	693
617.24	680
617.49	783
617.74	686
617.99	512
618.24	559
618.49	823
618.74	746
618.99	730
619.24	492
619.49	534
619.74	405
619.99	319
620.24	308
620.49	69
620.74	481
620.99	523
621.24	218
621.49	387
621.74	248
621.99	410
622.24	393
622.49	256
622.74	291
622.99	183
623.24	247
623.49	-63
623.74	189
623.99	149
624.24	181
624.49	22
624.74	246
624.99	293
625.24	305
625.49	-110
625.74	177
625.99	-8
626.24	204
626.49	128
626.74	320
626.99	41
627.24	63
627.49	-9
627.74	-38
627.99	-343
628.24	-188
628.49	238
628.74	-410
628.99	74
629.24	-10
629.49	-179
629.74	-408
629.99	58
630.24	118
630.49	-63
630.74	-10
630.99	-143
631.24	-81
631.49	-139
631.74	55
631.99	125
632.24	-226
632.49	17
632.74	-204
632.99	-82
633.24	-172
633.49	-168
633.74	-107
633.99	-32
634.24	-218
634.49	-112
634.74	-81
634.99	-182
635.24	229
635.49	-2
635.74	-183
635.99	62
636.24	-294
636.49	-229
636.74	-53
636.99	-146
637.24	-236
637.49	-128
637.74	42
637.99	-149
638.24	-18
638.49	19
638.74	-229
638.99	217
639.24	-258
639.49	-70
639.74	-304
639.99	51
640.24	-476
640.49	-232
640.74	-332
640.99	-213
641.24	6
641.49	-140
641.74	-256
641.99	-80
642.24	-296
642.49	-388
642.74	-88
642.99	-290
643.24	-119
643.49	-90
643.74	-311
643.99	-55
644.24	34
644.49	-277
644.74	-127
644.99	-133
645.24	73
645.49	236
645.74	196
645.99	-336
646.24	-172
646.49	183
646.74	-140
646.99	-193
647.24	-297
647.49	-10
647.74	-278
647.99	102
648.24	-276
648.49	-440
648.74	4
648.99	-139
649.24	185
649.49	-250
649.74	-255
649.99	-76
650.24	-80
650.49	-152
650.74	-240
650.99	-199
651.24	-143
651.49	-156
651.74	-361
651.99	-31
652.24	-111
652.49	-200
652.74	-207
652.99	-196
653.24	-48
653.49	-23
653.74	-258
653.99	-249
654.24	-400
654.49	-131
654.74	-205
654.99	-325
655.24	-233
655.49	-149
655.74	55
