Wavelength,Excitation,Emission
506,51.98273735,51.02995338
507,46.67462851,55.94906183
508,41.70411111,60.67023383
509,36.96700573,65.22289719
510,32.73590035,69.72599892
511,28.72050497,73.84972626
512,25.29312954,77.52829335
513,22.0890628,81.159875
514,19.03448559,84.75945038
515,16.45329715,87.82464873
516,14.09827343,90.77754156
517,11.9865002,93.220947
518,10.15970663,95.35357502
519,8.624847184,97.58393727
520,7.275756329,99.21910646
521,6.130911422,99.96206329
522,5.212585334,100
523,4.446680059,99.8241048
524,3.768941054,99.63870853
525,3.201078734,99.80926104
526,2.707740905,99.57657425
527,2.270472823,99.14642946
528,1.960334233,97.7346431
529,1.688846201,96.08178278
530,1.437811132,94.72932118
531,1.227769296,93.09566532
532,1.060662696,91.21363907
533,0.889124489,89.76934834
534,0.768874044,88.61447987
535,0.686917844,86.86944774
536,0.617227498,84.82854891
537,0.551877284,83.07553859
538,0.499382912,81.19571953
539,0.458460264,79.45224297
540,0.430899152,77.54189007
541,0,75.56050688
542,0,73.87180089
543,0,72.44073346
544,0,70.82352931
545,0,68.91154561
546,0,66.67991086
547,0,64.99641286
548,0,63.24322926
549,0,61.73525758
550,0,60.55202197
551,0,59.31800823
552,0,57.7293687
553,0,56.21289733
554,0,54.74746202
555,0,53.55116697
556,0,52.07526407
557,0,51.02248697
558,0,49.78117723
559,0,48.55464911
560,0,47.26365042
561,0,46.25110329
562,0,45.02365106
563,0,43.87189908
564,0,42.8035159
565,0,41.92162029
566,0,40.94724394
567,0,39.82101694
568,0,38.75115485
569,0,37.64430655
570,0,36.64249849
571,0,35.61113187
572,0,34.69375656
573,0,33.60950416
574,0,32.83186216
575,0,31.79958702
576,0,30.76483406
577,0,29.82322345
578,0,28.97230693
579,0,28.07608362
580,0,27.1259456
581,0,26.52159316
582,0,25.66883941
583,0,24.83715232
584,0,24.04215052
585,0,23.24359974
586,0,22.51206998
587,0,21.87111731
588,0,21.13469971
589,0,20.47615964
590,0,19.89491857
591,0,19.12982545
592,0,18.62318765
593,0,17.98331694
594,0,17.38222681
595,0,16.98086998
596,0,16.46569726
597,0,16.02249571
598,0,15.5867746
599,0,15.0723239
